date,time,unixtime,hp_pressure,lp_pressure,condensing_temp,evaporating_temp,liquid_temp,subcooling,suction_temp,superheat,oil_pressure,discharge_temp,condenser_air_inlet_temp,condenser_air_outlet_temp,evaporator_air_inlet_temp,evaporator_air_outlet_temp,condenser_water_inlet_temp,condenser_water_outlet_temp,evaporator_water_inlet_temp,evaporator_water_outlet_temp,L1_comp_current,L2_comp_current,L3_comp_current
12-07-21,16:56:17,1626108977,7.71,1.52,34.12,-3.82,29.25,4.87,2.13,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:18,1626108978,7.75,1.53,34.31,-3.76,29.34,4.96,2.14,5.90,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:19,1626108979,7.86,1.53,34.73,-3.70,29.59,5.14,2.15,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:20,1626108980,7.98,1.55,35.24,-3.54,29.50,5.74,2.17,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:21,1626108981,8.09,1.57,35.67,-3.33,29.67,5.99,2.17,5.50,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:22,1626108982,8.18,1.60,36.01,-3.01,29.90,6.11,2.18,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:23,1626108983,8.27,1.64,36.37,-2.61,30.09,6.28,2.19,4.80,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:24,1626108984,8.35,1.67,36.66,-2.25,30.24,6.42,2.19,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:25,1626108985,8.37,1.71,36.74,-1.85,30.25,6.49,2.20,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:26,1626108986,8.37,1.75,36.76,-1.52,30.20,6.57,2.20,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:27,1626108987,8.39,1.79,36.84,-1.14,30.19,6.65,2.20,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-07-21,16:56:28,1626108988,8.43,1.82,36.98,-0.81,30.05,6.92,2.20,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0
